nohup: 忽略输入
train epoch samples 26208
Class 0: Precision=0.0000, Recall=0.0000, F1=0.0000
Class 1: Precision=0.7254, Recall=0.8194, F1=0.7696
Class 2: Precision=0.7358, Recall=0.6574, F1=0.6944
Class 3: Precision=0.7321, Recall=0.7083, F1=0.7200
Class 4: Precision=0.6787, Recall=0.6944, F1=0.6865
Class 5: Precision=0.7500, Recall=0.7361, F1=0.7430
Class 6: Precision=0.6776, Recall=0.7685, F1=0.7202
Class 7: Precision=0.7062, Recall=0.6898, F1=0.6979
Class 8: Precision=0.7331, Recall=0.8009, F1=0.7655
Class 9: Precision=0.6783, Recall=0.7222, F1=0.6996
Class 10: Precision=0.7244, Recall=0.7546, F1=0.7392
Class 11: Precision=0.7578, Recall=0.7824, F1=0.7699
Class 12: Precision=0.6477, Recall=0.7917, F1=0.7125
Class 13: Precision=0.6940, Recall=0.7454, F1=0.7188
Class 14: Precision=0.7318, Recall=0.6994, F1=0.7153
{'eval_loss': 1.2839802503585815, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.7215608465608465, 'eval_binary_accuracy': 0.7215608465608465, 'eval_precision': 0.7149311894144301, 'eval_micro_precision': 0.7215608465608465, 'eval_recall': 0.7407627865961198, 'eval_micro_recall': 0.7215608465608465, 'eval_f1': 0.7265412490964718, 'eval_micro_f1': 0.7215608465608465, 'eval_runtime': 6.6419, 'eval_samples_per_second': 910.581, 'eval_steps_per_second': 3.613, 'epoch': 20.0}
Class 0: Precision=0.7149, Recall=0.7778, F1=0.7450
Class 1: Precision=0.7077, Recall=0.8519, F1=0.7731
Class 2: Precision=0.7306, Recall=0.6528, F1=0.6895
Class 3: Precision=0.7238, Recall=0.7037, F1=0.7136
Class 4: Precision=0.6849, Recall=0.6944, F1=0.6897
Class 5: Precision=0.7610, Recall=0.7222, F1=0.7411
Class 6: Precision=0.6849, Recall=0.7546, F1=0.7181
Class 7: Precision=0.7236, Recall=0.6667, F1=0.6940
Class 8: Precision=0.7457, Recall=0.8009, F1=0.7723
Class 9: Precision=0.6948, Recall=0.6852, F1=0.6900
Class 10: Precision=0.7028, Recall=0.8102, F1=0.7527
Class 11: Precision=0.7478, Recall=0.7824, F1=0.7647
Class 12: Precision=0.6546, Recall=0.7546, F1=0.7011
Class 13: Precision=0.6708, Recall=0.7546, F1=0.7102
Class 14: Precision=0.7306, Recall=0.6951, F1=0.7124
{'eval_loss': 1.298140048980713, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.7194113756613757, 'eval_binary_accuracy': 0.7194113756613757, 'eval_precision': 0.711900752509831, 'eval_micro_precision': 0.7194113756613757, 'eval_recall': 0.7404761904761905, 'eval_micro_recall': 0.7194113756613757, 'eval_f1': 0.724495733964072, 'eval_micro_f1': 0.7194113756613757, 'eval_runtime': 6.7423, 'eval_samples_per_second': 897.022, 'eval_steps_per_second': 3.56, 'epoch': 21.0}
Class 0: Precision=0.7119, Recall=0.7778, F1=0.7434
Class 1: Precision=0.7172, Recall=0.8102, F1=0.7609
Class 2: Precision=0.7190, Recall=0.6991, F1=0.7089
Class 3: Precision=0.7085, Recall=0.7315, F1=0.7198
Class 4: Precision=0.6844, Recall=0.7130, F1=0.6984
Class 5: Precision=0.7653, Recall=0.6944, F1=0.7282
Class 6: Precision=0.6763, Recall=0.7546, F1=0.7133
Class 7: Precision=0.7054, Recall=0.7315, F1=0.7182
Class 8: Precision=0.7412, Recall=0.7824, F1=0.7613
Class 9: Precision=0.6858, Recall=0.7176, F1=0.7014
Class 10: Precision=0.7366, Recall=0.7639, F1=0.7500
Class 11: Precision=0.7642, Recall=0.7500, F1=0.7570
Class 12: Precision=0.6377, Recall=0.7824, F1=0.7027
Class 13: Precision=0.6468, Recall=0.8056, F1=0.7175
Class 14: Precision=0.7335, Recall=0.6852, F1=0.7085
{'eval_loss': 1.3904706239700317, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.7180886243386243, 'eval_binary_accuracy': 0.7180886243386243, 'eval_precision': 0.7089303844669674, 'eval_micro_precision': 0.7180886243386243, 'eval_recall': 0.7466049382716048, 'eval_micro_recall': 0.7180886243386243, 'eval_f1': 0.7259614572114166, 'eval_micro_f1': 0.7180886243386243, 'eval_runtime': 7.1184, 'eval_samples_per_second': 849.626, 'eval_steps_per_second': 3.372, 'epoch': 22.0}
Class 0: Precision=0.7353, Recall=0.6944, F1=0.7143
Class 1: Precision=0.7247, Recall=0.8287, F1=0.7732
Class 2: Precision=0.7306, Recall=0.6528, F1=0.6895
Class 3: Precision=0.7080, Recall=0.7407, F1=0.7240
Class 4: Precision=0.6680, Recall=0.7454, F1=0.7046
Class 5: Precision=0.7536, Recall=0.7361, F1=0.7447
Class 6: Precision=0.7100, Recall=0.7593, F1=0.7338
Class 7: Precision=0.6809, Recall=0.7407, F1=0.7095
Class 8: Precision=0.7489, Recall=0.7731, F1=0.7608
Class 9: Precision=0.6941, Recall=0.7037, F1=0.6989
Class 10: Precision=0.7119, Recall=0.8009, F1=0.7538
Class 11: Precision=0.7231, Recall=0.8102, F1=0.7642
Class 12: Precision=0.6573, Recall=0.7546, F1=0.7026
Class 13: Precision=0.6736, Recall=0.7454, F1=0.7077
Class 14: Precision=0.7333, Recall=0.6901, F1=0.7111
{'eval_loss': 1.3916813135147095, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.7195767195767195, 'eval_binary_accuracy': 0.7195767195767195, 'eval_precision': 0.7102108490695846, 'eval_micro_precision': 0.7195767195767195, 'eval_recall': 0.7450837742504409, 'eval_micro_recall': 0.7195767195767195, 'eval_f1': 0.7261760312200085, 'eval_micro_f1': 0.7195767195767195, 'eval_runtime': 7.194, 'eval_samples_per_second': 840.705, 'eval_steps_per_second': 3.336, 'epoch': 23.0}
Class 0: Precision=0.6914, Recall=0.7778, F1=0.7320
Class 1: Precision=0.7093, Recall=0.8472, F1=0.7722
Class 2: Precision=0.7116, Recall=0.7083, F1=0.7100
Class 3: Precision=0.7376, Recall=0.6898, F1=0.7129
Class 4: Precision=0.6837, Recall=0.6806, F1=0.6821
Class 5: Precision=0.7700, Recall=0.7130, F1=0.7404
Class 6: Precision=0.6946, Recall=0.7685, F1=0.7297
Class 7: Precision=0.7091, Recall=0.7222, F1=0.7156
Class 8: Precision=0.7696, Recall=0.7731, F1=0.7714
Class 9: Precision=0.7081, Recall=0.6852, F1=0.6965
Class 10: Precision=0.7336, Recall=0.7778, F1=0.7551
Class 11: Precision=0.7667, Recall=0.7454, F1=0.7559
Class 12: Precision=0.6407, Recall=0.8009, F1=0.7119
Class 13: Precision=0.6900, Recall=0.7315, F1=0.7101
Class 14: Precision=0.7327, Recall=0.7007, F1=0.7164
{'eval_loss': 1.405988097190857, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.72255291005291, 'eval_binary_accuracy': 0.72255291005291, 'eval_precision': 0.7165801915520863, 'eval_micro_precision': 0.72255291005291, 'eval_recall': 0.7414682539682539, 'eval_micro_recall': 0.72255291005291, 'eval_f1': 0.7274684112819555, 'eval_micro_f1': 0.72255291005291, 'eval_runtime': 6.7868, 'eval_samples_per_second': 891.137, 'eval_steps_per_second': 3.536, 'epoch': 24.0}
{'loss': 0.1576, 'learning_rate': 7.0992366412213746e-06, 'epoch': 24.04}
Class 0: Precision=0.6917, Recall=0.7685, F1=0.7281
Class 1: Precision=0.7137, Recall=0.8194, F1=0.7629
Class 2: Precision=0.7064, Recall=0.7130, F1=0.7097
Class 3: Precision=0.7299, Recall=0.7130, F1=0.7213
Class 4: Precision=0.6653, Recall=0.7361, F1=0.6989
Class 5: Precision=0.7621, Recall=0.7269, F1=0.7441
Class 6: Precision=0.6774, Recall=0.7778, F1=0.7241
Class 7: Precision=0.6991, Recall=0.7315, F1=0.7149
Class 8: Precision=0.7489, Recall=0.7731, F1=0.7608
Class 9: Precision=0.6624, Recall=0.7269, F1=0.6932
Class 10: Precision=0.6917, Recall=0.8102, F1=0.7463
Class 11: Precision=0.7555, Recall=0.8009, F1=0.7775
Class 12: Precision=0.6264, Recall=0.7917, F1=0.6994
Class 13: Precision=0.6846, Recall=0.7639, F1=0.7221
Class 14: Precision=0.7377, Recall=0.6723, F1=0.7035
{'eval_loss': 1.4167940616607666, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.7166005291005291, 'eval_binary_accuracy': 0.7166005291005291, 'eval_precision': 0.7035177987237106, 'eval_micro_precision': 0.7166005291005291, 'eval_recall': 0.7550044091710757, 'eval_micro_recall': 0.7166005291005291, 'eval_f1': 0.7271171988594262, 'eval_micro_f1': 0.7166005291005291, 'eval_runtime': 6.7318, 'eval_samples_per_second': 898.422, 'eval_steps_per_second': 3.565, 'epoch': 25.0}
Class 0: Precision=0.7061, Recall=0.7454, F1=0.7252
Class 1: Precision=0.7280, Recall=0.8426, F1=0.7811
Class 2: Precision=0.7235, Recall=0.7269, F1=0.7252
Class 3: Precision=0.7215, Recall=0.7315, F1=0.7264
Class 4: Precision=0.6739, Recall=0.7176, F1=0.6951
Class 5: Precision=0.7665, Recall=0.6991, F1=0.7312
Class 6: Precision=0.6991, Recall=0.7315, F1=0.7149
Class 7: Precision=0.6781, Recall=0.7315, F1=0.7038
Class 8: Precision=0.7725, Recall=0.7546, F1=0.7635
Class 9: Precision=0.6709, Recall=0.7361, F1=0.7020
Class 10: Precision=0.7113, Recall=0.7870, F1=0.7473
Class 11: Precision=0.7569, Recall=0.7639, F1=0.7604
Class 12: Precision=0.6508, Recall=0.7593, F1=0.7009
Class 13: Precision=0.6867, Recall=0.7407, F1=0.7127
Class 14: Precision=0.7330, Recall=0.6928, F1=0.7123
{'eval_loss': 1.4333171844482422, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.7202380952380952, 'eval_binary_accuracy': 0.7202380952380952, 'eval_precision': 0.7119223819985774, 'eval_micro_precision': 0.7202380952380952, 'eval_recall': 0.7440255731922397, 'eval_micro_recall': 0.7202380952380952, 'eval_f1': 0.7267958715568962, 'eval_micro_f1': 0.7202380952380952, 'eval_runtime': 7.1209, 'eval_samples_per_second': 849.337, 'eval_steps_per_second': 3.37, 'epoch': 26.0}
Class 0: Precision=0.7111, Recall=0.7407, F1=0.7256
Class 1: Precision=0.7357, Recall=0.7731, F1=0.7540
Class 2: Precision=0.7018, Recall=0.7083, F1=0.7051
Class 3: Precision=0.7175, Recall=0.7407, F1=0.7289
Class 4: Precision=0.6837, Recall=0.6806, F1=0.6821
Class 5: Precision=0.7784, Recall=0.6991, F1=0.7366
Class 6: Precision=0.6953, Recall=0.7500, F1=0.7216
Class 7: Precision=0.7028, Recall=0.6898, F1=0.6963
Class 8: Precision=0.7412, Recall=0.7824, F1=0.7613
Class 9: Precision=0.6653, Recall=0.7361, F1=0.6989
Class 10: Precision=0.7477, Recall=0.7546, F1=0.7512
Class 11: Precision=0.7545, Recall=0.7824, F1=0.7682
Class 12: Precision=0.6454, Recall=0.7500, F1=0.6938
Class 13: Precision=0.6833, Recall=0.7593, F1=0.7193
Class 14: Precision=0.7280, Recall=0.6984, F1=0.7129
{'eval_loss': 1.4703285694122314, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.71875, 'eval_binary_accuracy': 0.71875, 'eval_precision': 0.7127830273293275, 'eval_micro_precision': 0.71875, 'eval_recall': 0.7363756613756612, 'eval_micro_recall': 0.71875, 'eval_f1': 0.7237102435388209, 'eval_micro_f1': 0.71875, 'eval_runtime': 6.7562, 'eval_samples_per_second': 895.176, 'eval_steps_per_second': 3.552, 'epoch': 27.0}
Class 0: Precision=0.7124, Recall=0.7454, F1=0.7285
Class 1: Precision=0.7171, Recall=0.8565, F1=0.7806
Class 2: Precision=0.7175, Recall=0.7407, F1=0.7289
Class 3: Precision=0.7143, Recall=0.7407, F1=0.7273
Class 4: Precision=0.6786, Recall=0.7037, F1=0.6909
Class 5: Precision=0.7536, Recall=0.7361, F1=0.7447
Class 6: Precision=0.6920, Recall=0.7593, F1=0.7241
Class 7: Precision=0.7022, Recall=0.7315, F1=0.7166
Class 8: Precision=0.7265, Recall=0.7870, F1=0.7556
Class 9: Precision=0.6667, Recall=0.7222, F1=0.6933
Class 10: Precision=0.6983, Recall=0.7824, F1=0.7380
Class 11: Precision=0.7384, Recall=0.8102, F1=0.7726
Class 12: Precision=0.6403, Recall=0.7500, F1=0.6908
Class 13: Precision=0.6778, Recall=0.7500, F1=0.7121
Class 14: Precision=0.7371, Recall=0.6779, F1=0.7063
{'eval_loss': 1.4667739868164062, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.7180886243386243, 'eval_binary_accuracy': 0.7180886243386243, 'eval_precision': 0.7048493955625091, 'eval_micro_precision': 0.7180886243386243, 'eval_recall': 0.752910052910053, 'eval_micro_recall': 0.7180886243386243, 'eval_f1': 0.7273512482350387, 'eval_micro_f1': 0.7180886243386243, 'eval_runtime': 6.8033, 'eval_samples_per_second': 888.982, 'eval_steps_per_second': 3.528, 'epoch': 28.0}
{'loss': 0.1166, 'learning_rate': 1.3740458015267176e-06, 'epoch': 28.85}
Class 0: Precision=0.7162, Recall=0.7593, F1=0.7371
Class 1: Precision=0.7303, Recall=0.8148, F1=0.7702
Class 2: Precision=0.7300, Recall=0.6759, F1=0.7019
Class 3: Precision=0.7227, Recall=0.7361, F1=0.7294
Class 4: Precision=0.6892, Recall=0.7083, F1=0.6986
Class 5: Precision=0.7608, Recall=0.7361, F1=0.7482
Class 6: Precision=0.7026, Recall=0.7546, F1=0.7277
Class 7: Precision=0.7091, Recall=0.7222, F1=0.7156
Class 8: Precision=0.7500, Recall=0.7778, F1=0.7636
Class 9: Precision=0.6754, Recall=0.7130, F1=0.6937
Class 10: Precision=0.7241, Recall=0.7778, F1=0.7500
Class 11: Precision=0.7557, Recall=0.7731, F1=0.7643
Class 12: Precision=0.6345, Recall=0.7315, F1=0.6796
Class 13: Precision=0.6820, Recall=0.7546, F1=0.7165
Class 14: Precision=0.7328, Recall=0.6984, F1=0.7152
{'eval_loss': 1.478609561920166, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.7218915343915344, 'eval_binary_accuracy': 0.7218915343915344, 'eval_precision': 0.7143606916153371, 'eval_micro_precision': 0.7218915343915344, 'eval_recall': 0.7422398589065257, 'eval_micro_recall': 0.7218915343915344, 'eval_f1': 0.7274420641320212, 'eval_micro_f1': 0.7218915343915344, 'eval_runtime': 7.0741, 'eval_samples_per_second': 854.946, 'eval_steps_per_second': 3.393, 'epoch': 29.0}
Class 0: Precision=0.7112, Recall=0.7639, F1=0.7366
Class 1: Precision=0.7236, Recall=0.8241, F1=0.7706
Class 2: Precision=0.7304, Recall=0.6898, F1=0.7095
Class 3: Precision=0.7290, Recall=0.7222, F1=0.7256
Class 4: Precision=0.6909, Recall=0.7037, F1=0.6972
Class 5: Precision=0.7633, Recall=0.7315, F1=0.7470
Class 6: Precision=0.7018, Recall=0.7407, F1=0.7207
Class 7: Precision=0.7045, Recall=0.7176, F1=0.7110
Class 8: Precision=0.7445, Recall=0.7824, F1=0.7630
Class 9: Precision=0.6711, Recall=0.7083, F1=0.6892
Class 10: Precision=0.7261, Recall=0.7731, F1=0.7489
Class 11: Precision=0.7626, Recall=0.7731, F1=0.7678
Class 12: Precision=0.6434, Recall=0.7269, F1=0.6826
Class 13: Precision=0.6862, Recall=0.7593, F1=0.7209
Class 14: Precision=0.7322, Recall=0.6997, F1=0.7156
{'eval_loss': 1.48692786693573, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.7218915343915344, 'eval_binary_accuracy': 0.7218915343915344, 'eval_precision': 0.7147098191693568, 'eval_micro_precision': 0.7218915343915344, 'eval_recall': 0.7410934744268077, 'eval_micro_recall': 0.7218915343915344, 'eval_f1': 0.7270826311697307, 'eval_micro_f1': 0.7218915343915344, 'eval_runtime': 6.7669, 'eval_samples_per_second': 893.763, 'eval_steps_per_second': 3.547, 'epoch': 30.0}
{'train_runtime': 1962.7425, 'train_samples_per_second': 400.582, 'train_steps_per_second': 1.59, 'train_loss': 0.6455571920443803, 'epoch': 30.0}
Class 0: Precision=0.7112, Recall=0.7639, F1=0.7366
Class 1: Precision=0.7236, Recall=0.8241, F1=0.7706
Class 2: Precision=0.7304, Recall=0.6898, F1=0.7095
Class 3: Precision=0.7290, Recall=0.7222, F1=0.7256
Class 4: Precision=0.6909, Recall=0.7037, F1=0.6972
Class 5: Precision=0.7633, Recall=0.7315, F1=0.7470
Class 6: Precision=0.7018, Recall=0.7407, F1=0.7207
Class 7: Precision=0.7045, Recall=0.7176, F1=0.7110
Class 8: Precision=0.7445, Recall=0.7824, F1=0.7630
Class 9: Precision=0.6711, Recall=0.7083, F1=0.6892
Class 10: Precision=0.7261, Recall=0.7731, F1=0.7489
Class 11: Precision=0.7626, Recall=0.7731, F1=0.7678
Class 12: Precision=0.6434, Recall=0.7269, F1=0.6826
Class 13: Precision=0.6862, Recall=0.7593, F1=0.7209
Class 14: Precision=0.7322, Recall=0.6997, F1=0.7156
{'eval_loss': 1.48692786693573, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.7218915343915344, 'eval_binary_accuracy': 0.7218915343915344, 'eval_precision': 0.7147098191693568, 'eval_micro_precision': 0.7218915343915344, 'eval_recall': 0.7410934744268077, 'eval_micro_recall': 0.7218915343915344, 'eval_f1': 0.7270826311697307, 'eval_micro_f1': 0.7218915343915344, 'eval_runtime': 6.7382, 'eval_samples_per_second': 897.567, 'eval_steps_per_second': 3.562, 'epoch': 30.0}
Metrics on Test: {'eval_loss': 1.48692786693573, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.7218915343915344, 'eval_binary_accuracy': 0.7218915343915344, 'eval_precision': 0.7147098191693568, 'eval_micro_precision': 0.7218915343915344, 'eval_recall': 0.7410934744268077, 'eval_micro_recall': 0.7218915343915344, 'eval_f1': 0.7270826311697307, 'eval_micro_f1': 0.7218915343915344, 'eval_runtime': 6.7382, 'eval_samples_per_second': 897.567, 'eval_steps_per_second': 3.562, 'epoch': 30.0}
